FECHA,AÑO,MES,ESTACIÓN DEL AÑO,EVENTO INTERANUAL,Estacion,TSM,Chla,Longitud,Latitud,MES_NUM,ONI,Cluster
1997-09-01,1997,Septiembre,Otoño,Niño,Est 1°,31.4417,0.1351,-109.3,23.8,9,2.3,3
1997-10-01,1997,Octubre,Otoño,Niño,Est 1°,30.575,0.1281,-109.3,23.8,10,2.4,3
1997-11-01,1997,Noviembre,Otoño,Niño,Est 1°,27.8917,0.2229,-109.3,23.8,11,2.4,3
1997-12-01,1997,Diciembre,Invierno,Niño,Est 1°,25.825,0.4121,-109.3,23.8,12,2.2,3
1998-01-01,1998,Enero,Invierno,Niño,Est 1°,24.8,0.4254,-109.3,23.8,1,1.9,3
1998-02-01,1998,Febrero,Invierno,Niño,Est 1°,23.5583,0.3893,-109.3,23.8,2,1.4,3
1998-03-01,1998,Marzo,Primavera,Niño,Est 1°,22.5,0.3347,-109.3,23.8,3,1.0,3
1998-04-01,1998,Abril,Primavera,Niño,Est 1°,23.3333,0.3451,-109.3,23.8,4,0.5,3
1998-05-01,1998,Mayo,Primavera,Niño,Est 1°,25.3,0.2742,-109.3,23.8,5,-0.1,3
1998-06-01,1998,Junio,Verano,Normal,Est 1°,28.1667,0.1925,-109.3,23.8,6,-0.8,3
1998-07-01,1998,Julio,Verano,Niña,Est 1°,29.3667,0.172,-109.3,23.8,7,-1.1,3
1998-08-01,1998,Agosto,Verano,Niña,Est 1°,30.425,0.1601,-109.3,23.8,8,-1.3,3
1998-09-01,1998,Septiembre,Otoño,Niña,Est 1°,30.6417,0.1286,-109.3,23.8,9,-1.4,3
1998-10-01,1998,Octubre,Otoño,Niña,Est 1°,29.7667,0.1443,-109.3,23.8,10,-1.5,3
1998-11-01,1998,Noviembre,Otoño,Niña,Est 1°,27.25,0.204,-109.3,23.8,11,-1.6,3
1998-12-01,1998,Diciembre,Invierno,Niña,Est 1°,23.8417,0.6266,-109.3,23.8,12,-1.5,3
1999-01-01,1999,Enero,Invierno,Niña,Est 1°,21.4083,0.8888,-109.3,23.8,1,-1.3,3
1999-02-01,1999,Febrero,Invierno,Niña,Est 1°,20.6,0.7238,-109.3,23.8,2,-1.1,3
1999-03-01,1999,Marzo,Primavera,Niña,Est 1°,20.7083,0.6587,-109.3,23.8,3,-1.0,3
1999-04-01,1999,Abril,Primavera,Niña,Est 1°,22.0167,0.6221,-109.3,23.8,4,-1.0,3
1999-05-01,1999,Mayo,Primavera,Niña,Est 1°,23.6167,0.3516,-109.3,23.8,5,-1.0,3
1999-06-01,1999,Junio,Verano,Niña,Est 1°,27.2167,0.1904,-109.3,23.8,6,-1.1,3
1999-07-01,1999,Julio,Verano,Niña,Est 1°,29.2667,0.172,-109.3,23.8,7,-1.1,3
1999-08-01,1999,Agosto,Verano,Niña,Est 1°,30.3167,0.974,-109.3,23.8,8,-1.2,3
1999-09-01,1999,Septiembre,Otoño,Niña,Est 1°,29.7333,0.2235,-109.3,23.8,9,-1.3,3
1999-10-01,1999,Octubre,Otoño,Niña,Est 1°,29.925,0.1951,-109.3,23.8,10,-1.5,3
1999-11-01,1999,Noviembre,Otoño,Niña,Est 1°,27.3,0.6697,-109.3,23.8,11,-1.7,3
1999-12-01,1999,Diciembre,Invierno,Niña,Est 1°,23.3917,0.8427,-109.3,23.8,12,-1.7,3
2000-01-01,2000,Enero,Invierno,Niña,Est 1°,20.075,0.6253,-109.3,23.8,1,-1.4,3
2000-02-01,2000,Febrero,Invierno,Niña,Est 1°,21.2833,0.9974,-109.3,23.8,2,-1.1,3
2000-03-01,2000,Marzo,Primavera,Niña,Est 1°,21.5917,0.678,-109.3,23.8,3,-0.8,3
2000-04-01,2000,Abril,Primavera,Niña,Est 1°,23.325,0.5081,-109.3,23.8,4,-0.7,3
2000-05-01,2000,Mayo,Primavera,Niña,Est 1°,25.8917,0.3779,-109.3,23.8,5,-0.6,3
2000-06-01,2000,Junio,Verano,Niña,Est 1°,25.9083,0.2918,-109.3,23.8,6,-0.6,3
2000-07-01,2000,Julio,Verano,Niña,Est 1°,29.7833,0.2782,-109.3,23.8,7,-0.5,3
2000-08-01,2000,Agosto,Verano,Niña,Est 1°,31.175,0.4905,-109.3,23.8,8,-0.5,3
2000-09-01,2000,Septiembre,Otoño,Niña,Est 1°,30.5667,0.2095,-109.3,23.8,9,-0.6,3
2000-10-01,2000,Octubre,Otoño,Niña,Est 1°,30.2333,0.2488,-109.3,23.8,10,-0.7,3
2000-11-01,2000,Noviembre,Otoño,Niña,Est 1°,27.2667,0.4436,-109.3,23.8,11,-0.7,3
2000-12-01,2000,Diciembre,Invierno,Niña,Est 1°,23.0583,1.0186,-109.3,23.8,12,-0.7,3
2001-01-01,2001,Enero,Invierno,Niña,Est 1°,21.9667,0.6668,-109.3,23.8,1,-0.5,3
2001-02-01,2001,Febrero,Invierno,Niña,Est 1°,20.0167,0.7143,-109.3,23.8,2,-0.4,3
2001-03-01,2001,Marzo,Primavera,Normal,Est 1°,20.8167,0.9536,-109.3,23.8,3,-0.3,3
2001-04-01,2001,Abril,Primavera,Normal,Est 1°,22.3667,0.8986,-109.3,23.8,4,-0.3,3
2001-05-01,2001,Mayo,Primavera,Normal,Est 1°,25.3083,0.411,-109.3,23.8,5,-0.1,3
2001-06-01,2001,Junio,Verano,Normal,Est 1°,26.7583,0.4564,-109.3,23.8,6,-0.1,3
2001-07-01,2001,Julio,Verano,Normal,Est 1°,29.5583,0.2782,-109.3,23.8,7,-0.1,3
2001-08-01,2001,Agosto,Verano,Normal,Est 1°,30.825,0.2051,-109.3,23.8,8,-0.2,3
2001-09-01,2001,Septiembre,Otoño,Normal,Est 1°,31.05,0.1517,-109.3,23.8,9,-0.3,3
2001-10-01,2001,Octubre,Otoño,Normal,Est 1°,29.0583,0.3103,-109.3,23.8,10,-0.3,3
2001-11-01,2001,Noviembre,Otoño,Normal,Est 1°,28.5583,0.1922,-109.3,23.8,11,-0.3,3
2001-12-01,2001,Diciembre,Invierno,Normal,Est 1°,25.425,0.7603,-109.3,23.8,12,-0.1,3
2002-01-01,2002,Enero,Invierno,Normal,Est 1°,21.425,0.6646,-109.3,23.8,1,0.0,3
2002-02-01,2002,Febrero,Invierno,Normal,Est 1°,20.0167,0.6625,-109.3,23.8,2,0.1,3
2002-03-01,2002,Marzo,Primavera,Normal,Est 1°,21.6417,0.9606,-109.3,23.8,3,0.2,3
2002-04-01,2002,Abril,Primavera,Normal,Est 1°,22.9917,0.4259,-109.3,23.8,4,0.4,3
2002-05-01,2002,Mayo,Primavera,Normal,Est 1°,25.6333,0.313,-109.3,23.8,5,0.7,3
2002-06-01,2002,Junio,Verano,Niño,Est 1°,26.2833,0.2392,-109.3,23.8,6,0.8,3
2002-07-01,2002,Julio,Verano,Niño,Est 1°,28.3567,0.2211,-109.3,23.8,7,0.9,3
2002-08-01,2002,Agosto,Verano,Niño,Est 1°,30.9211,0.2018,-109.3,23.8,8,1.0,3
2002-09-01,2002,Septiembre,Otoño,Niño,Est 1°,30.9172,0.2343,-109.3,23.8,9,1.2,3
2002-10-01,2002,Octubre,Otoño,Niño,Est 1°,29.61,0.1867,-109.3,23.8,10,1.3,3
2002-11-01,2002,Noviembre,Otoño,Niño,Est 1°,27.2978,0.2794,-109.3,23.8,11,1.1,3
2002-12-01,2002,Diciembre,Invierno,Niño,Est 1°,25.075,0.4452,-109.3,23.8,12,0.9,3
2003-01-01,2003,Enero,Invierno,Niño,Est 1°,23.3472,0.4895,-109.3,23.8,1,0.6,3
2003-02-01,2003,Febrero,Invierno,Niño,Est 1°,23.2478,0.4069,-109.3,23.8,2,0.4,3
2003-03-01,2003,Marzo,Primavera,Normal,Est 1°,23.2389,0.3844,-109.3,23.8,3,0.0,3
2003-04-01,2003,Abril,Primavera,Normal,Est 1°,24.6656,0.3343,-109.3,23.8,4,-0.3,3
2003-05-01,2003,Mayo,Primavera,Normal,Est 1°,25.9739,0.1935,-109.3,23.8,5,-0.2,3
2003-06-01,2003,Junio,Verano,Normal,Est 1°,27.8206,0.174,-109.3,23.8,6,0.1,3
2003-07-01,2003,Julio,Verano,Normal,Est 1°,29.0061,0.2308,-109.3,23.8,7,0.2,3
2003-08-01,2003,Agosto,Verano,Normal,Est 1°,30.59,0.1655,-109.3,23.8,8,0.3,3
2003-09-01,2003,Septiembre,Otoño,Normal,Est 1°,30.1117,0.1738,-109.3,23.8,9,0.3,3
2003-10-01,2003,Octubre,Otoño,Normal,Est 1°,30.3389,0.2288,-109.3,23.8,10,0.4,3
2003-11-01,2003,Noviembre,Otoño,Normal,Est 1°,27.035,0.3879,-109.3,23.8,11,0.4,3
